,EGR1,ERCC4,TYMP,SMARCA4,HMGB1,HDAC7,TYK2,FGF2,CCND1,MTSS1,early_TE,medium_TE,late_TE
E5.1.30,0,1,1,1,1,0,1,0,0,1,"E5.1.30, E5.5.96, E5.5.97","E5.37.3235, E6.13.1373, E6.15.1436",E6.13.1399
E5.10.933,1,1,0,1,1,0,1,0,1,0,"E5.10.933, E5.9.924","E6.12.1286, E6.15.1461, E6.15.1466, E6.15.1473","E6.14.1420, E6.17.1602, E6.18.1626"
E5.10.936,0,1,0,1,1,1,1,0,0,1,"E5.10.936, E5.14.1788","E6.12.1290, E6.15.1462","E6.13.1398, E6.13.1400, E6.14.1409, E6.8.829"
E5.10.943,1,1,0,1,1,1,1,0,1,1,"E5.10.943, E5.9.925",E6.15.1463,"E6.14.1404, E7.13.881"
E5.10.945,0,1,0,1,1,0,0,0,0,0,"E5.10.945, E5.2.48","E6.13.1385, E6.15.1441, E6.15.1445, E6.15.1451, E6.15.1471, E6.17.1571",E6.14.1405
E5.10.949,0,0,0,1,1,0,1,0,0,0,"E5.10.949, E5.39.3274, E5.41.3315","E5.12.1042, E5.37.3234, E6.12.1294, E6.13.1370, E6.13.1375, E6.14.1431",E6.14.1406
E5.12.1031,1,1,0,1,1,0,1,0,0,0,"E5.12.1031, E5.41.3328, E5.5.95, E5.8.918","E6.12.1288, E6.12.1485, E6.14.1413, E6.14.1428, E6.15.1443",E6.16.1505
E5.12.1034,1,0,0,1,1,1,1,0,0,1,E5.12.1034,E6.12.1292,E6.12.1280
E5.12.1037,1,1,0,1,1,0,1,0,0,1,"E5.12.1037, E5.39.3264, E5.40.3294, E5.9.927",E6.11.1076,"E6.13.1380, E6.13.1397, E6.8.832"
E5.13.1761,0,1,0,1,1,0,1,0,0,1,"E5.13.1761, E5.13.1781, E5.39.3263, E5.5.92, E5.8.915, E5.8.919",E6.15.1476,"E6.12.1271, E6.12.1278, E6.13.1377, E6.13.1379, E6.13.1383, E6.13.1394, E6.16.1496, E6.18.1622, E6.18.1623, E6.22.1863"
E5.13.1762,1,1,0,1,1,1,1,0,0,1,"E5.13.1762, E5.13.1766","E6.15.1474, E6.15.1477","E6.13.1386, E7.10.753"
E5.14.1792,0,1,0,1,1,0,1,0,0,0,"E5.14.1792, E5.16.1893, E5.2.43, E5.5.91","E5.3.55, E6.1.84, E6.11.1074, E6.13.1363, E6.13.1365, E6.13.1369, E6.14.1425, E6.14.1432, E6.15.1442, E6.15.1465, E6.17.1573","E6.8.774, E6.8.814, E6.8.831"
E5.14.1923,0,1,0,1,1,0,1,0,1,0,"E5.14.1923, E5.16.1900, E5.2.45","E6.1.88, E6.11.1064, E6.12.1266, E6.12.1293, E6.15.1447, E6.15.1475, E6.17.1572","E6.13.1395, E6.14.1422, E6.14.1423, E6.14.1424, E6.8.812, E7.11.838"
E5.14.1925,0,1,0,1,1,0,0,0,0,1,E5.14.1925,E6.13.1372,E6.16.1495
E5.16.1888,1,1,1,1,1,0,1,0,1,1,E5.16.1888,"E6.15.1458, E6.15.1469",E6.16.1503
E5.16.1899,0,1,0,1,1,0,0,0,1,0,"E5.16.1899, E5.3.56","E6.12.1295, E6.14.1412, E6.15.1437",E6.14.1411
E5.16.1901,0,1,1,1,1,1,1,0,1,0,"E5.16.1901, E5.16.1904, E5.16.1912",E6.11.1065,"E6.16.1494, E7.10.763"
E5.16.1903,0,1,1,1,1,1,1,0,1,1,E5.16.1903,E6.12.1268,"E6.12.1487, E6.13.1393, E6.22.1859"
E5.16.1905,0,1,0,1,1,1,1,0,1,1,E5.16.1905,"E6.13.1364, E6.13.1374","E6.11.1070, E6.12.1484, E6.17.1598, E6.22.1846, E6.8.784, E6.9.1014"
E5.16.1906,0,1,0,1,1,0,1,0,1,1,"E5.16.1906, E5.16.1907","E6.1.80, E6.12.1275","E6.13.1392, E6.14.1403, E6.16.1497, E6.17.1591, E6.17.1601, E6.17.1607, E6.18.1635, E6.18.1636"
E5.2.42,0,1,0,1,1,1,1,0,0,0,"E5.2.42, E5.5.101",E6.12.1488,"E6.18.1624, E6.8.808"
E5.2.46,1,1,0,1,1,1,1,0,0,0,"E5.2.46, E5.39.3262",E6.15.1457,E6.14.1430
E5.3.51,0,1,1,1,1,0,1,0,1,0,"E5.3.51, E5.40.3283","E6.12.1291, E6.17.1570","E6.13.1388, E7.10.745"
E5.3.57,0,1,0,1,1,1,0,0,0,0,E5.3.57,"E6.13.1371, E6.15.1438",E6.14.1415
E5.40.3285,1,0,0,1,1,0,1,0,1,0,E5.40.3285,E6.12.1272,E7.10.747
